CODIGO,PRECIO,DESCUENTO, MONTO,VENEZUELA 1,VENEZUELA 2,COL 4,MEX 9,VENEZUELA 3,MEX 10,MEX 11,MEX 12,MEX 13,
BT-2200-BL," $36,00 ", $-   ," $72,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2200-FS," $36,00 ", $-   ," $36,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2200-MR," $36,00 ", $-   ," $36,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2200-NG," $36,00 ", $-   ," $72,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2200-RJ," $36,00 ", $-   ," $36,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2201-FS," $62,00 ", $-   ," $62,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2201-LI," $62,00 ", $-   ," $62,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2201-RJ," $62,00 ", $-   ," $62,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2201-TQ," $62,00 ", $-   ," $62,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2202-BL," $74,50 ", $-   ," $74,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2202-MO," $74,50 ", $-   ," $74,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2202-NG," $74,50 ", $-   ," $74,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-2202-RJ," $74,50 ", $-   ," $74,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-5531-TR," $126,83 ", $-   ," $126,83 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-2070-NT," $55,55 ", $-   ," $166,65 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4509-NG," $375,20 ", $-   ," $750,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-CE," $52,90 ", $-   ," $52,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-CL," $52,90 ", $-   ," $52,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-FS," $52,90 ", $-   ," $105,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-GR," $52,90 ", $-   ," $52,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-LL," $52,90 ", $-   ," $52,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-MO," $52,90 ", $-   ," $52,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-MR," $52,90 ", $-   ," $52,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-NJ," $52,90 ", $-   ," $52,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-RS," $52,90 ", $-   ," $105,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8216-VD," $52,90 ", $-   ," $52,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-AO," $94,61 ", $-   ," $94,61 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-CL," $94,61 ", $-   ," $94,61 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-FS," $94,61 ", $-   ," $189,22 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-MN," $94,61 ", $-   ," $94,61 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-NG," $94,61 ", $-   ," $283,83 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-NJ," $94,61 ", $-   ," $94,61 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-RJ," $94,61 ", $-   ," $189,22 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-TQ," $94,61 ", $-   ," $94,61 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
EL-1116-BG," $67,70 ", $-   ," $67,70 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PD-8067-BO," $155,80 ", $-   ," $155,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,PD-8067-BO,#N/A,
PD-8067-CR," $97,00 ", $-   ," $194,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,PD-8067-CR,#N/A,
ST-1082-DO," $196,90 ", $-   ," $196,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-1083-DO," $278,00 ", $-   ," $278,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-2014-CR," $173,50 ", $-   ," $173,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-2017-CR," $196,00 ", $-   ," $392,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
TJ-1004-MR," $16,90 ", $-   ," $202,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
TJ-1004-RJ," $16,90 ", $-   ," $202,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
AC-5001-NQ," $596,40 ", $-   ," $298,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
AP-2152-RS," $84,70 ", $-   ," $84,70 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-1241-PL," $40,90 ", $-   ," $122,70 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-1266-CR," $43,60 ", $-   ," $130,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-2018-FS," $255,20 ", $-   ," $510,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
EM-1000-VR," $15,80 ", $-   ," $158,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
HR-2001-DO," $16,10 ", $-   ," $96,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
HR-2001-NQ," $16,10 ", $-   ," $96,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
HR-2001-NQ," $16,10 ", $-   ," $96,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-7338-BO," $109,50 ", $-   ," $219,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-7400-BO," $98,80 ", $-   ," $98,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-2014-CR," $173,50 ", $-   ," $1.041,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-2015-CR," $173,50 ", $-   ," $1.041,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-2016-CR," $173,50 ", $-   ," $1.041,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
TJ-1004-MR," $16,80 ", $-   ," $201,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00727-RJ," $168,20 ", $-   ," $84,10 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00732-RJ," $214,12 ", $-   ," $107,06 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00734-RJ," $210,30 ", $-   ," $210,30 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PD-6001-NQ," $38,70 ", $-   ," $232,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PD-6006-NQ," $15,50 ", $-   ," $93,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00732-RJ," $214,12 ", $-   ," $107,06 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4506-BL," $364,00 ", $-   ," $364,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-7338-CR," $84,60 ", $-   ," $42,30 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00547-RJ," $427,50 ", $-   ," $427,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00732-RJ," $214,12 ", $-   ," $214,12 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8225-BG," $227,70 ", $-   ," $227,70 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-7605-BO," $169,90 ", $-   ," $84,95 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-7606-BO," $135,60 ", $-   ," $135,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00727-RJ," $168,20 ", $-   ," $168,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-7338-CR," $84,60 ", $-   ," $84,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00734-RJ," $189,27 ", $-   ," $189,27 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
AC-5061-NQ," $515,00 ", $-   ," $257,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-7039-CF," $74,80 ", $-   ," $149,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-1241-PL," $40,90 ", $-   ," $40,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-2018-FS," $255,20 ", $-   ," $510,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4042-BL," $325,90 ", $-   ," $325,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4051-PL," $177,40 ", $-   ," $177,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00664-RJ," $336,30 ", $-   ," $336,30 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00727-RJ," $168,20 ", $-   ," $84,10 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00732-RJ," $214,12 ", $-   ," $107,06 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00734-RJ," $210,30 ", $-   ," $105,15 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8225-BG," $227,70 ", $-   ," $227,70 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PD-6000-NQ," $38,70 ", $-   ," $464,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PD-6001-NQ," $38,70 ", $-   ," $232,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00486-RJ," $788,40 ", $-   ," $788,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00530-RJ," $139,20 ", $-   ," $278,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00664-RJ," $302,67 ", $-   ," $302,67 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8225-BG," $227,70 ", $-   ," $227,70 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-7338-CR," $84,60 ", $-   ," $84,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-1209-MT," $120,00 ", $-   ," $120,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4501-BL," $133,90 ", $-   ," $669,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4501-DO," $133,90 ", $-   ," $669,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4501-MO," $133,90 ", $-   ," $401,70 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4505-NG," $491,85 "," $20,00 "," $1.967,40 ",CI-4505-NG,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-NG," $111,30 "," $20,00 "," $178,08 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8257-RJ," $111,30 "," $20,00 "," $178,08 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
NV-1006-DO," $38,20 "," $10,00 "," $343,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,NV-1006-DO,#N/A,#N/A,#N/A,
PD-8067-CR," $106,70 "," $10,00 "," $96,03 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,PD-8067-CR,#N/A,
TJ-1012-NG," $110,10 ", $-   ," $330,30 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
AP-1121-NG," $435,90 ", $-   ," $435,90 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00547-RJ," $525,60 "," $10,00 "," $473,04 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00734-RJ," $210,30 "," $20,00 "," $168,24 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
NV-1001-DO," $226,60 ", $-   ," $679,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,NV-1001-DO,#N/A,#N/A,#N/A,
NV-1010-RJ," $139,70 "," $5,00 "," $265,43 ",#N/A,#N/A,#N/A,#N/A,Err:504,NV-1010-RJ,#N/A,#N/A,#N/A,
RM-4200-DO," $399,90 ", $-   ," $3.999,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,RM-4200-DO,#N/A,
RM-4200-NQ," $399,90 ", $-   ," $3.999,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,RM-4200-NQ,#N/A,
pc-2717-BL, $-   ," $0,10 ", $-   ,#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
pc-2718-pl, $-   ," $0,10 ", $-   ,#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
pc-2725-mt, $-   ," $0,10 ", $-   ,#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
pc-2699-ao, $-   ," $0,20 ", $-   ,#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PC-2751-RS, $-   ," $0,20 ", $-   ,#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
AC-1138-VR," $67,10 "," $10,00 "," $1.207,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,AC-1138-VR,#N/A,#N/A,#N/A,
AG-1003-NQ," $9,20 ", $-   ," $920,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,AG-1003-NQ,#N/A,#N/A,#N/A,
BT-7005-BG," $525,00 "," $10,00 "," $472,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-7005-CF," $525,00 "," $10,00 "," $472,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-7009-BG," $687,90 "," $10,00 "," $619,11 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
GUI-00312-MT," $139,00 "," $20,00 "," $333,60 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
